"reporting_year","station_eu_code","date","NOX"
2020,"IT2205A",2020-05-12,4.888
2020,"IT2205A",2020-05-13,6.539
2020,"IT2205A",2020-05-14,4.783
2020,"IT2205A",2020-05-15,5.242
2020,"IT2205A",2020-05-16,7.75
2020,"IT2205A",2020-05-17,7.763
2020,"IT2205A",2020-05-18,4.775
2020,"IT2205A",2020-05-19,5.337
2020,"IT2205A",2020-05-20,5.722
2020,"IT2205A",2020-05-21,5.343
2020,"IT2205A",2020-05-22,5.653
2020,"IT2205A",2020-05-23,7.862
2020,"IT2205A",2020-05-24,5.77
2020,"IT2205A",2020-05-25,6.276
2020,"IT2205A",2020-05-26,6.606
2020,"IT2205A",2020-05-27,5.547
2020,"IT2205A",2020-05-28,6.732
2020,"IT2205A",2020-05-29,7.623
2020,"IT2205A",2020-05-30,8.529
2020,"IT2205A",2020-05-31,8.001
2020,"IT2205A",2020-06-01,6.52
2020,"IT2205A",2020-06-02,6.765
2020,"IT2205A",2020-06-03,6.821
2020,"IT2205A",2020-06-04,5.294
2020,"IT2205A",2020-06-05,5.94
2020,"IT2205A",2020-06-06,5.131
2020,"IT2205A",2020-06-07,4.893
2020,"IT2205A",2020-06-08,5.284
2020,"IT2205A",2020-06-09,4.903
2020,"IT2205A",2020-06-10,19.543
2020,"IT2205A",2020-06-11,6.784
2020,"IT2205A",2020-06-12,6.49
2020,"IT2205A",2020-06-13,7.36
2020,"IT2205A",2020-06-14,4.952
2020,"IT2205A",2020-06-15,5.605
2020,"IT2205A",2020-06-16,4.962
2020,"IT2205A",2020-06-17,4.816
2020,"IT2205A",2020-06-18,4.819
2020,"IT2205A",2020-06-19,5.897
2020,"IT2205A",2020-06-20,6.14
2020,"IT2205A",2020-06-21,5.36
2020,"IT2205A",2020-06-22,11.258
2020,"IT2205A",2020-06-23,2.579
2020,"IT2205A",2020-06-24,5.32
2020,"IT2205A",2020-06-25,6.938
2020,"IT2205A",2020-06-26,6.913
2020,"IT2205A",2020-06-27,6.472
2020,"IT2205A",2020-06-28,7.559
2020,"IT2205A",2020-06-30,53.834
2020,"IT1741A",2020-01-01,4.429
2020,"IT1741A",2020-01-02,16.895
2020,"IT1741A",2020-01-03,17.178
2020,"IT1741A",2020-01-04,18.071
2020,"IT1741A",2020-01-05,2.937
2020,"IT1741A",2020-01-06,2.171
2020,"IT1741A",2020-01-07,14.624
2020,"IT1741A",2020-01-08,6.277
2020,"IT1741A",2020-01-09,14.179
2020,"IT1741A",2020-01-10,26.712
2020,"IT1741A",2020-01-11,6.962
2020,"IT1741A",2020-01-12,6.944
2020,"IT1741A",2020-01-13,17.087
2020,"IT1741A",2020-01-14,22.947
2020,"IT1741A",2020-01-15,15.003
2020,"IT1741A",2020-01-16,9.267
2020,"IT1741A",2020-01-17,19.562
2020,"IT1741A",2020-01-18,11.93
2020,"IT1741A",2020-01-19,4.1
2020,"IT1741A",2020-01-20,7.689
2020,"IT1741A",2020-01-21,13.975
2020,"IT1741A",2020-01-22,24.374
2020,"IT1741A",2020-01-23,32.231
2020,"IT1741A",2020-01-24,15.308
2020,"IT1741A",2020-01-25,18.431
2020,"IT1741A",2020-01-26,7.545
2020,"IT1741A",2020-01-27,20.99
2020,"IT1741A",2020-01-28,10.878
2020,"IT1741A",2020-01-29,12.995
2020,"IT1741A",2020-01-30,29.685
2020,"IT1741A",2020-01-31,32.968
2020,"IT1741A",2020-02-01,7.87
2020,"IT1741A",2020-02-02,12.893
2020,"IT1741A",2020-02-03,20.648
2020,"IT1741A",2020-02-04,6.685
2020,"IT1741A",2020-02-05,1.134
2020,"IT1741A",2020-02-06,3.425
2020,"IT1741A",2020-02-07,10.678
2020,"IT1741A",2020-02-08,10.853
2020,"IT1741A",2020-02-09,8.834
2020,"IT1741A",2020-02-10,13.487
2020,"IT1741A",2020-02-11,9.386
2020,"IT1741A",2020-02-12,21.084
2020,"IT1741A",2020-02-13,11.015
2020,"IT1741A",2020-02-14,7.19
2020,"IT1741A",2020-02-15,6.881
2020,"IT1741A",2020-02-16,7.636
2020,"IT1741A",2020-02-17,19.079
2020,"IT1741A",2020-02-18,15.664
2020,"IT1741A",2020-02-19,19.285
2020,"IT1741A",2020-02-20,3.846
2020,"IT1741A",2020-02-21,10.891
2020,"IT1741A",2020-02-22,5.27
2020,"IT1741A",2020-02-23,13.277
2020,"IT1741A",2020-02-24,18.048
2020,"IT1741A",2020-02-25,16.42
2020,"IT1741A",2020-02-26,5.95
2020,"IT1741A",2020-02-27,11.801
2020,"IT1741A",2020-02-28,12.865
2020,"IT1741A",2020-02-29,5.421
2020,"IT1741A",2020-03-01,3.049
2020,"IT1741A",2020-03-02,5.134
2020,"IT1741A",2020-03-03,2.692
2020,"IT1741A",2020-03-04,9.259
2020,"IT1741A",2020-03-05,9.983
2020,"IT1741A",2020-03-06,11.468
2020,"IT1741A",2020-03-07,2.943
2020,"IT1741A",2020-03-08,2.797
2020,"IT1741A",2020-03-09,8.549
2020,"IT1741A",2020-03-10,6.893
2020,"IT1741A",2020-03-11,11.663
2020,"IT1741A",2020-03-12,9.815
2020,"IT1741A",2020-03-13,9.698
2020,"IT1741A",2020-03-14,3.741
2020,"IT1741A",2020-03-15,2.004
2020,"IT1741A",2020-03-16,4.484
2020,"IT1741A",2020-03-17,4.499
2020,"IT1741A",2020-03-18,3.893
2020,"IT1741A",2020-03-19,4.98
2020,"IT1741A",2020-03-20,6.252
2020,"IT1741A",2020-03-21,3.014
2020,"IT1741A",2020-03-22,1.098
2020,"IT1741A",2020-03-23,1.729
2020,"IT1741A",2020-03-24,1.62
2020,"IT1741A",2020-03-25,3.778
2020,"IT1741A",2020-03-26,1.084
2020,"IT1741A",2020-03-27,3.968
2020,"IT1741A",2020-03-28,2.225
2020,"IT1741A",2020-03-29,2.517
2020,"IT1741A",2020-03-30,3.662
2020,"IT1741A",2020-03-31,2.369
2020,"IT1741A",2020-04-01,1.994
2020,"IT1741A",2020-04-02,2.759
2020,"IT1741A",2020-04-03,4.072
2020,"IT1741A",2020-04-04,1.842
2020,"IT1741A",2020-04-05,1.411
2020,"IT1741A",2020-04-06,0.982
2020,"IT1741A",2020-04-07,2.041
2020,"IT1741A",2020-04-08,2.42
2020,"IT1741A",2020-04-09,2.345
2020,"IT1741A",2020-04-10,2.434
2020,"IT1741A",2020-04-11,2.45
2020,"IT1741A",2020-04-12,2.486
2020,"IT1741A",2020-04-13,2.462
2020,"IT1741A",2020-04-14,2.457
2020,"IT1741A",2020-04-15,2.425
2020,"IT1741A",2020-04-16,5.839
2020,"IT1741A",2020-04-17,10.521
2020,"IT1741A",2020-04-18,8.587
2020,"IT1741A",2020-04-19,7.7
2020,"IT1741A",2020-04-20,11.757
2020,"IT1741A",2020-04-21,8.33
2020,"IT1741A",2020-04-22,9.844
2020,"IT1741A",2020-04-23,8.568
2020,"IT1741A",2020-04-24,9.358
2020,"IT1741A",2020-04-25,9.973
2020,"IT1741A",2020-04-26,8.25
2020,"IT1741A",2020-04-27,10.312
2020,"IT1741A",2020-04-28,9.817
2020,"IT1741A",2020-04-29,9.106
2020,"IT1741A",2020-04-30,9.718
2020,"IT1741A",2020-05-01,8.504
2020,"IT1741A",2020-05-02,7.989
2020,"IT1741A",2020-05-03,7.797
2020,"IT1741A",2020-05-04,9.913
2020,"IT1741A",2020-05-05,11.33
2020,"IT1741A",2020-05-06,9.841
2020,"IT1741A",2020-05-07,7.518
2020,"IT1741A",2020-05-08,8.847
2020,"IT1741A",2020-05-09,4.027
2020,"IT1741A",2020-05-10,3.557
2020,"IT1741A",2020-05-11,5.103
2020,"IT1741A",2020-05-12,6.645
2020,"IT1741A",2020-05-13,6.609
2020,"IT1741A",2020-05-14,6.115
2020,"IT1741A",2020-05-15,7.507
2020,"IT1741A",2020-05-16,6.301
2020,"IT1741A",2020-05-17,4.577
2020,"IT1741A",2020-05-18,2.948
2020,"IT1741A",2020-05-19,7.013
2020,"IT1741A",2020-05-20,7.211
2020,"IT1741A",2020-05-21,5.007
2020,"IT1741A",2020-05-22,7.208
2020,"IT1741A",2020-05-23,7.001
2020,"IT1741A",2020-05-24,5.148
2020,"IT1741A",2020-05-25,5.796
2020,"IT1741A",2020-05-26,4.939
2020,"IT1741A",2020-05-27,4.637
2020,"IT1741A",2020-05-28,8.662
2020,"IT1741A",2020-05-29,7.46
2020,"IT1741A",2020-05-30,5.145
2020,"IT1741A",2020-05-31,4.526
2020,"IT1741A",2020-06-01,7.754
2020,"IT1741A",2020-06-02,5.436
2020,"IT1741A",2020-06-03,7.167
2020,"IT1741A",2020-06-04,6.843
2020,"IT1741A",2020-06-05,8.129
2020,"IT1741A",2020-06-06,6.457
2020,"IT1741A",2020-06-07,5.573
2020,"IT1741A",2020-06-08,9.305
2020,"IT1741A",2020-06-09,6.916
2020,"IT1741A",2020-06-10,9.531
2020,"IT1741A",2020-06-11,7.61
2020,"IT1741A",2020-06-12,8.944
2020,"IT1741A",2020-06-13,6.439
2020,"IT1741A",2020-06-14,6.859
2020,"IT1741A",2020-06-15,8.812
2020,"IT1741A",2020-06-16,5.37
2020,"IT1741A",2020-06-17,7.851
2020,"IT1741A",2020-06-18,7.909
2020,"IT1741A",2020-06-19,9.973
2020,"IT1741A",2020-06-20,5.632
2020,"IT1741A",2020-06-21,4.496
2020,"IT1741A",2020-06-22,5.186
2020,"IT1741A",2020-06-23,4.87
2020,"IT1741A",2020-06-24,7.796
2020,"IT1741A",2020-06-25,6.599
2020,"IT1741A",2020-06-26,8.36
2020,"IT1741A",2020-06-27,9.176
2020,"IT1741A",2020-06-28,9.36
2020,"IT1741A",2020-06-29,9.012
2020,"IT1741A",2020-06-30,9.729
2020,"IT1897A",2020-01-01,8.252
2020,"IT1897A",2020-01-02,11.323
2020,"IT1897A",2020-01-03,17.038
2020,"IT1897A",2020-01-04,13.038
2020,"IT1897A",2020-01-05,6.548
2020,"IT1897A",2020-01-06,6.785
2020,"IT1897A",2020-01-07,13.399
2020,"IT1897A",2020-01-08,11.388
