"reporting_year","station_eu_code","date","PM2.5"
2020,"IT2056A",2020-05-08,14.591
2020,"IT2056A",2020-05-09,13.0037
2020,"IT2056A",2020-05-10,17.4196
2020,"IT2056A",2020-05-11,10.8466
2020,"IT2056A",2020-05-12,7.5702
2020,"IT2056A",2020-05-13,18.6813
2020,"IT2056A",2020-05-14,16.0358
2020,"IT2056A",2020-05-15,14.1026
2020,"IT2056A",2020-05-16,17.3993
2020,"IT2056A",2020-05-17,15.9951
2020,"IT2056A",2020-05-18,11.7623
2020,"IT2056A",2020-05-19,8.547
2020,"IT2056A",2020-05-20,9.5849
2020,"IT2056A",2020-05-21,10.9076
2020,"IT2056A",2020-05-22,11.1315
2020,"IT2056A",2020-05-23,11.9251
2020,"IT2056A",2020-05-24,10.7245
2020,"IT2056A",2020-05-25,12.617
2020,"IT2056A",2020-05-26,10.1343
2020,"IT2056A",2020-05-27,10.9483
2020,"IT2056A",2020-05-28,8.4453
2020,"IT2056A",2020-05-29,9.8087
2020,"IT2056A",2020-05-30,11.6199
2020,"IT2056A",2020-05-31,11.9455
2020,"IT2056A",2020-06-01,9.5442
2020,"IT2056A",2020-06-02,12.4949
2020,"IT2056A",2020-06-03,9.768
2020,"IT2056A",2020-06-04,11.6199
2020,"IT2056A",2020-06-05,11.5792
2020,"IT2056A",2020-06-06,8.8523
2020,"IT2056A",2020-06-07,13.8787
2020,"IT2056A",2020-06-08,13.024
2020,"IT2056A",2020-06-09,9.7884
2020,"IT2056A",2020-06-10,10.114
2020,"IT2056A",2020-06-11,10.4803
2020,"IT2056A",2020-06-12,14.9369
2020,"IT2056A",2020-06-13,16.2393
2020,"IT2056A",2020-06-14,10.0529
2020,"IT2056A",2020-06-15,9.6052
2020,"IT2056A",2020-06-16,10.8873
2020,"IT2056A",2020-06-17,11.1518
2020,"IT2056A",2020-06-18,8.3435
2020,"IT2056A",2020-06-19,11.0704
2020,"IT2056A",2020-06-20,10.6634
2020,"IT2056A",2020-06-21,13.8584
2020,"IT2056A",2020-06-22,9.3407
2020,"IT2056A",2020-06-23,14.9573
2020,"IT2056A",2020-06-24,12.3932
2020,"IT2056A",2020-06-25,13.1461
2020,"IT2056A",2020-06-26,13.5328
2020,"IT2056A",2020-06-27,14.1636
2020,"IT2056A",2020-06-28,17.2772
2020,"IT2056A",2020-06-29,12.6577
2020,"IT2056A",2020-06-30,12.5763
2020,"IT1996A",2020-01-01,12.7798
2020,"IT1996A",2020-01-02,9.4424
2020,"IT1996A",2020-01-03,8.6488
2020,"IT1996A",2020-01-04,5.5963
2020,"IT1996A",2020-01-05,8.9947
2020,"IT1996A",2020-01-06,15.9137
2020,"IT1996A",2020-01-07,5.9219
2020,"IT1996A",2020-01-08,5.1079
2020,"IT1996A",2020-01-09,5.23
2020,"IT1996A",2020-01-10,9.1575
2020,"IT1996A",2020-01-11,11.1518
2020,"IT1996A",2020-01-12,7.3871
2020,"IT1996A",2020-01-13,8.079
2020,"IT1996A",2020-01-14,5.1689
2020,"IT1996A",2020-01-15,7.8958
2020,"IT1996A",2020-01-16,6.9394
2020,"IT1996A",2020-01-17,5.4945
2020,"IT1996A",2020-01-18,4.416
2020,"IT1996A",2020-01-19,2.2589
2020,"IT1996A",2020-01-20,4.2125
2020,"IT1996A",2020-01-21,2.8694
2020,"IT1996A",2020-01-22,2.7066
2020,"IT1996A",2020-01-23,4.6398
2020,"IT1996A",2020-01-24,6.044
2020,"IT1996A",2020-01-25,11.9862
2020,"IT1996A",2020-01-26,18.1115
2020,"IT1996A",2020-01-27,21.4286
2020,"IT1996A",2020-01-28,52.7473
2020,"IT1996A",2020-01-29,4.4567
2020,"IT1996A",2020-01-30,3.8258
2020,"IT1996A",2020-01-31,5.23
2020,"IT1996A",2020-02-01,4.5177
2020,"IT1996A",2020-02-02,3.4595
2020,"IT1996A",2020-02-03,2.849
2020,"IT1996A",2020-02-04,3.4392
2020,"IT1996A",2020-02-05,7.326
2020,"IT1996A",2020-02-06,6.7155
2020,"IT1996A",2020-02-07,19.0476
2020,"IT1996A",2020-02-08,7.672
2020,"IT1996A",2020-02-09,4.009
2020,"IT1996A",2020-02-10,6.858
2020,"IT1996A",2020-02-11,8.6895
2020,"IT1996A",2020-02-12,3.8462
2020,"IT1996A",2020-02-13,5.5352
2020,"IT1996A",2020-02-14,11.5995
2020,"IT1996A",2020-02-15,7.733
2020,"IT1996A",2020-02-16,6.1864
2020,"IT1996A",2020-02-17,10.4192
2020,"IT1996A",2020-02-18,6.858
2020,"IT1996A",2020-02-19,3.1543
2020,"IT1996A",2020-02-20,4.6398
2020,"IT1996A",2020-02-21,3.6223
2020,"IT1996A",2020-02-22,5.0672
2020,"IT1996A",2020-02-23,4.1921
2020,"IT1996A",2020-02-24,3.6874
2020,"IT1996A",2020-02-25,4.3142
2020,"IT1996A",2020-02-26,2.0757
2020,"IT1996A",2020-02-27,3.1543
2020,"IT1996A",2020-02-28,2.035
2020,"IT1996A",2020-02-29,2.6252
2020,"IT1996A",2020-03-01,5.7184
2020,"IT1996A",2020-03-02,2.9508
