"reporting_year","station_eu_code","date","C6H6"
2020,"IT2059A",2020-05-06,0.41
2020,"IT2059A",2020-05-07,0.3042
2020,"IT2059A",2020-05-08,0.4529
2020,"IT2059A",2020-05-09,0.4462
2020,"IT2059A",2020-05-10,0.4546
2020,"IT2059A",2020-05-11,0.1975
2020,"IT2059A",2020-05-12,0.3085
2020,"IT2059A",2020-05-13,0.3109
2020,"IT2059A",2020-05-14,0.2764
2020,"IT2059A",2020-05-15,0.2506
2020,"IT2059A",2020-05-16,0.3546
2020,"IT2059A",2020-05-17,0.3044
2020,"IT2059A",2020-05-18,0.407
2020,"IT2059A",2020-05-19,0.3226
2020,"IT2059A",2020-05-20,0.3782
2020,"IT2059A",2020-05-21,0.4307
2020,"IT2059A",2020-05-22,0.4482
2020,"IT2059A",2020-05-23,0.3853
2020,"IT2059A",2020-05-24,0.3007
2020,"IT2059A",2020-05-25,0.3115
2020,"IT2059A",2020-05-26,0.324
2020,"IT2059A",2020-05-27,0.2591
2020,"IT2059A",2020-05-28,0.4651
2020,"IT2059A",2020-05-29,0.3464
2020,"IT2059A",2020-05-30,0.3109
2020,"IT2059A",2020-05-31,0.31
2020,"IT2059A",2020-06-01,0.3826
2020,"IT2059A",2020-06-02,0.3015
2020,"IT2059A",2020-06-03,0.3508
2020,"IT2059A",2020-06-04,0.4002
2020,"IT2059A",2020-06-05,0.2882
2020,"IT2059A",2020-06-06,0.2385
2020,"IT2059A",2020-06-07,0.2519
2020,"IT2059A",2020-06-08,0.3
2020,"IT2059A",2020-06-09,0.2841
2020,"IT2059A",2020-06-10,0.3065
2020,"IT2059A",2020-06-11,0.2561
2020,"IT2059A",2020-06-12,0.3874
2020,"IT2059A",2020-06-13,0.204
2020,"IT2059A",2020-06-14,0.1846
2020,"IT2059A",2020-06-15,0.2192
2020,"IT2059A",2020-06-16,0.2318
2020,"IT2059A",2020-06-17,0.2794
2020,"IT2059A",2020-06-18,0.2774
2020,"IT2059A",2020-06-19,0.3754
2020,"IT2059A",2020-06-20,0.2801
2020,"IT2059A",2020-06-21,0.2693
2020,"IT2059A",2020-06-22,0.2882
2020,"IT2059A",2020-06-23,0.3431
2020,"IT2059A",2020-06-24,0.364
2020,"IT2059A",2020-06-25,0.4042
2020,"IT2059A",2020-06-26,0.3712
2020,"IT2059A",2020-06-27,0.3193
2020,"IT2059A",2020-06-28,0.2787
2020,"IT2059A",2020-06-29,0.2828
2020,"IT2059A",2020-06-30,0.3536
2020,"IT2056A",2020-01-01,0.9165
2020,"IT2056A",2020-01-02,1.0036
2020,"IT2056A",2020-01-03,1.2073
2020,"IT2056A",2020-01-04,0.5636
2020,"IT2056A",2020-01-05,0.7874
2020,"IT2056A",2020-01-06,1.1378
2020,"IT2056A",2020-01-07,1.0384
2020,"IT2056A",2020-01-08,1.2696
2020,"IT2056A",2020-01-09,1.657
2020,"IT2056A",2020-01-10,1.7209
2020,"IT2056A",2020-01-11,1.6674
2020,"IT2056A",2020-01-12,1.5563
2020,"IT2056A",2020-01-13,1.8813
