"reporting_year","station_eu_code","date","C6H6"
2020,"IT1180A",2020-05-06,0.4419151
2020,"IT1180A",2020-05-07,0.225
2020,"IT1180A",2020-05-08,0.225
2020,"IT1180A",2020-05-09,0.2476237
2020,"IT1180A",2020-05-10,0.2792662
2020,"IT1180A",2020-05-11,0.225
2020,"IT1180A",2020-05-12,0.225
2020,"IT1180A",2020-05-13,0.225
2020,"IT1180A",2020-05-14,0.2647884
2020,"IT1180A",2020-05-15,0.225
2020,"IT1180A",2020-05-16,0.2345029
2020,"IT1180A",2020-05-17,0.225
2020,"IT1180A",2020-05-18,0.225
2020,"IT1180A",2020-05-19,0.225
2020,"IT1180A",2020-05-20,0.225
2020,"IT1180A",2020-05-21,0.298236
2020,"IT1180A",2020-05-22,0.2344625
2020,"IT1180A",2020-05-23,0.225
2020,"IT1180A",2020-05-24,0.225
2020,"IT1180A",2020-05-25,0.225
2020,"IT1180A",2020-05-26,0.225
2020,"IT1180A",2020-05-27,0.225
2020,"IT1180A",2020-05-28,0.3474676
2020,"IT1180A",2020-05-29,0.225
2020,"IT1180A",2020-05-30,0.225
2020,"IT1180A",2020-05-31,0.225
2020,"IT1180A",2020-06-01,0.225
2020,"IT1180A",2020-06-02,0.225
2020,"IT1180A",2020-06-03,0.225
2020,"IT1180A",2020-06-04,0.225
2020,"IT1180A",2020-06-05,0.225
2020,"IT1180A",2020-06-06,0.2657909
2020,"IT1180A",2020-06-07,0.2771677
2020,"IT1180A",2020-06-08,0.225
2020,"IT1180A",2020-06-09,0.225
2020,"IT1180A",2020-06-10,0.225
2020,"IT1180A",2020-06-11,0.225
2020,"IT1180A",2020-06-12,0.225
2020,"IT1180A",2020-06-13,0.225
2020,"IT1180A",2020-06-14,0.225
2020,"IT1180A",2020-06-15,0.225
2020,"IT1180A",2020-06-16,0.225
2020,"IT1180A",2020-06-17,0.225
2020,"IT1180A",2020-06-18,0.225
2020,"IT1180A",2020-06-19,0.225
2020,"IT1180A",2020-06-20,0.225
2020,"IT1180A",2020-06-21,0.225
2020,"IT1180A",2020-06-22,0.225
2020,"IT1180A",2020-06-23,0.225
2020,"IT1180A",2020-06-24,0.225
2020,"IT1180A",2020-06-25,0.285288
2020,"IT1180A",2020-06-26,0.3136974
2020,"IT1180A",2020-06-27,0.225
2020,"IT1180A",2020-06-28,0.225
2020,"IT1180A",2020-06-29,0.3722245
2020,"IT1180A",2020-06-30,0.24543
2020,"IT1860A",2020-01-01,1.747522
2020,"IT1860A",2020-01-02,1.735076
2020,"IT1860A",2020-01-03,1.648858
2020,"IT1860A",2020-01-04,1.939545
2020,"IT1860A",2020-01-05,1.523248
2020,"IT1860A",2020-01-06,1.098353
2020,"IT1860A",2020-01-07,2.310706
2020,"IT1860A",2020-01-08,1.390924
2020,"IT1860A",2020-01-09,1.487136
2020,"IT1860A",2020-01-10,1.687186
2020,"IT1860A",2020-01-11,1.884352
2020,"IT1860A",2020-01-12,1.32847
2020,"IT1860A",2020-01-13,1.608689
2020,"IT1860A",2020-01-14,2.268138
2020,"IT1860A",2020-01-15,1.342978
2020,"IT1860A",2020-01-16,0.64106
2020,"IT1860A",2020-01-17,3.26023
2020,"IT1860A",2020-01-18,1.504202
2020,"IT1860A",2020-01-19,1.635314
2020,"IT1860A",2020-01-20,1.376625
2020,"IT1860A",2020-01-21,1.608155
2020,"IT1860A",2020-01-22,1.669034
2020,"IT1860A",2020-01-23,1.311983
2020,"IT1860A",2020-01-24,2.638859
2020,"IT1860A",2020-01-25,2.224987
2020,"IT1860A",2020-01-26,1.141085
2020,"IT1860A",2020-01-27,1.392643
2020,"IT1860A",2020-01-28,0.471118
2020,"IT1860A",2020-01-29,0.9120281
2020,"IT1860A",2020-01-30,1.129611
2020,"IT1860A",2020-01-31,1.254551
2020,"IT1860A",2020-02-01,0.9294295
2020,"IT1860A",2020-02-02,0.8092383
2020,"IT1860A",2020-02-03,0.9097561
2020,"IT1860A",2020-02-04,0.484477
2020,"IT1860A",2020-02-05,0.7510015
2020,"IT1860A",2020-02-06,0.7815461
2020,"IT1860A",2020-02-07,1.030537
2020,"IT1860A",2020-02-08,1.400349
2020,"IT1860A",2020-02-09,1.249279
2020,"IT1860A",2020-02-10,0.5597615
2020,"IT1860A",2020-02-11,0.50474
2020,"IT1860A",2020-02-12,0.9866561
2020,"IT1860A",2020-02-13,0.9472271
2020,"IT1860A",2020-02-14,1.080538
2020,"IT1860A",2020-02-15,1.296553
2020,"IT1860A",2020-02-16,1.197221
2020,"IT1860A",2020-02-17,1.322257
2020,"IT1860A",2020-02-18,1.096034
2020,"IT1860A",2020-02-19,1.168424
2020,"IT1860A",2020-02-20,1.204129
2020,"IT1860A",2020-02-21,1.224221
2020,"IT1860A",2020-02-22,1.774197
2020,"IT1860A",2020-02-23,1.136085
2020,"IT1860A",2020-02-24,1.319192
2020,"IT1860A",2020-02-25,0.7351958
2020,"IT1860A",2020-02-26,0.5133232
2020,"IT1860A",2020-02-27,0.6560109
2020,"IT1860A",2020-02-28,0.9446273
2020,"IT1860A",2020-02-29,1.343833
2020,"IT1860A",2020-03-01,0.489623
2020,"IT1860A",2020-03-02,0.4433435
2020,"IT1860A",2020-03-03,0.5389261
