"reporting_year","station_eu_code","date","CO"
2020,"IT1309A",2020-03-25,0.2353
2020,"IT1309A",2020-03-26,0.267
2020,"IT1309A",2020-03-27,0.2563
2020,"IT1309A",2020-03-28,0.3309
2020,"IT1309A",2020-03-29,0.2278
2020,"IT1309A",2020-03-30,0.1874
2020,"IT1309A",2020-03-31,0.1956
2020,"IT1309A",2020-04-01,0.1054
2020,"IT1309A",2020-04-02,0.1893
2020,"IT1309A",2020-04-03,0.1491
2020,"IT1309A",2020-04-04,0.1325
2020,"IT1309A",2020-04-05,0.1272
2020,"IT1309A",2020-04-06,0.2276
2020,"IT1309A",2020-04-07,0.1962
2020,"IT1309A",2020-04-08,0.1673
2020,"IT1309A",2020-04-09,0.1648
2020,"IT1309A",2020-04-10,0.1378
2020,"IT1309A",2020-04-11,0.1349
2020,"IT1309A",2020-04-12,0.1446
2020,"IT1309A",2020-04-13,0.13
2020,"IT1309A",2020-04-14,0.1551
2020,"IT1309A",2020-04-15,0.1248
2020,"IT1309A",2020-04-16,0.166
2020,"IT1309A",2020-04-17,0.1398
2020,"IT1309A",2020-04-18,0.1752
2020,"IT1309A",2020-04-19,0.1777
2020,"IT1309A",2020-04-20,0.1744
2020,"IT1309A",2020-04-21,0.1346
2020,"IT1309A",2020-04-22,0.1615
2020,"IT1309A",2020-04-23,0.109
2020,"IT1309A",2020-04-24,0.1105
2020,"IT1309A",2020-04-25,0.1079
2020,"IT1309A",2020-04-26,0.1478
2020,"IT1309A",2020-04-27,0.1569
2020,"IT1309A",2020-04-28,0.0904
2020,"IT1309A",2020-04-29,0.0674
2020,"IT1309A",2020-04-30,0.051
2020,"IT1309A",2020-05-01,0.0312
2020,"IT1309A",2020-05-02,0.0623
2020,"IT1309A",2020-05-03,0.0852
2020,"IT1309A",2020-05-04,0.0858
2020,"IT1309A",2020-05-05,0.0905
2020,"IT1309A",2020-05-06,0.1125
2020,"IT1309A",2020-05-07,0.055
2020,"IT1309A",2020-05-08,0.1961
2020,"IT1309A",2020-05-09,0.1023
2020,"IT1309A",2020-05-10,0.111
2020,"IT1309A",2020-05-11,0.0571
2020,"IT1309A",2020-05-12,0.1137
2020,"IT1309A",2020-05-13,0.0754
2020,"IT1309A",2020-05-14,0.0923
2020,"IT1309A",2020-05-15,0.0841
2020,"IT1309A",2020-05-16,0.1565
2020,"IT1309A",2020-05-17,0.0465
2020,"IT1309A",2020-05-18,0.1573
2020,"IT1309A",2020-05-19,0.1222
2020,"IT1309A",2020-05-20,0.076
2020,"IT1309A",2020-05-21,0.0472
2020,"IT1309A",2020-05-22,0.0728
2020,"IT1309A",2020-05-23,0.0554
2020,"IT1309A",2020-05-24,0.0861
2020,"IT1309A",2020-05-25,0.0674
2020,"IT1309A",2020-05-26,0.0604
2020,"IT1309A",2020-05-27,0.0461
2020,"IT1309A",2020-05-28,0.0628
2020,"IT1309A",2020-05-29,0.0545
2020,"IT1309A",2020-05-30,0.1144
2020,"IT1309A",2020-05-31,0.0418
2020,"IT1309A",2020-06-01,0.1861
2020,"IT1309A",2020-06-02,0.1947
2020,"IT1309A",2020-06-03,0.1935
2020,"IT1309A",2020-06-04,0.2122
2020,"IT1309A",2020-06-05,0.2116
2020,"IT1309A",2020-06-06,0.1831
2020,"IT1309A",2020-06-07,0.2207
2020,"IT1309A",2020-06-08,0.1635
2020,"IT1309A",2020-06-09,0.1644
2020,"IT1309A",2020-06-10,0.1841
2020,"IT1309A",2020-06-11,0.191
2020,"IT1309A",2020-06-12,0.1927
2020,"IT1309A",2020-06-13,0.2103
2020,"IT1309A",2020-06-14,0.2402
2020,"IT1309A",2020-06-15,0.243
2020,"IT1309A",2020-06-16,0.2321
2020,"IT1309A",2020-06-17,0.2258
2020,"IT1309A",2020-06-18,0.2668
2020,"IT1309A",2020-06-19,0.3062
2020,"IT1309A",2020-06-20,0.2098
2020,"IT1309A",2020-06-21,0.2297
2020,"IT1309A",2020-06-22,0.229
2020,"IT1309A",2020-06-23,0.2472
2020,"IT1309A",2020-06-24,0.2905
2020,"IT1309A",2020-06-25,0.328
2020,"IT1309A",2020-06-26,0.2802
2020,"IT1309A",2020-06-27,0.3411
2020,"IT1309A",2020-06-28,0.3035
2020,"IT1309A",2020-06-29,0.2732
2020,"IT1309A",2020-06-30,0.2859
2020,"IT1243A",2020-01-01,0.3046
2020,"IT1243A",2020-01-02,0.3108
2020,"IT1243A",2020-01-03,0.3777
2020,"IT1243A",2020-01-04,0.2636
2020,"IT1243A",2020-01-05,0.4095
2020,"IT1243A",2020-01-06,0.3397
2020,"IT1243A",2020-01-07,0.3929
2020,"IT1243A",2020-01-08,0.4165
2020,"IT1243A",2020-01-09,0.5037
2020,"IT1243A",2020-01-10,0.5281
2020,"IT1243A",2020-01-11,0.3113
2020,"IT1243A",2020-01-12,0.4063
2020,"IT1243A",2020-01-13,0.485
2020,"IT1243A",2020-01-14,0.4739
2020,"IT1243A",2020-01-15,0.5578
2020,"IT1243A",2020-01-16,0.5153
2020,"IT1243A",2020-01-17,0.4577
2020,"IT1243A",2020-01-18,0.3001
2020,"IT1243A",2020-01-19,0.3191
2020,"IT1243A",2020-01-20,0.3717
2020,"IT1243A",2020-01-21,0.3494
2020,"IT1243A",2020-01-22,0.3686
2020,"IT1243A",2020-01-23,0.3756
2020,"IT1243A",2020-01-24,0.3719
2020,"IT1243A",2020-01-25,0.2912
2020,"IT1243A",2020-01-26,0.3127
2020,"IT1243A",2020-01-27,0.341
2020,"IT1243A",2020-01-28,0.186
2020,"IT1243A",2020-01-29,0.1686
2020,"IT1243A",2020-01-30,0.3759
2020,"IT1243A",2020-01-31,0.328
2020,"IT1243A",2020-02-01,0.2844
2020,"IT1243A",2020-02-02,0.1681
2020,"IT1243A",2020-02-03,0.3114
2020,"IT1243A",2020-02-04,0.215
2020,"IT1243A",2020-02-05,0.3074
2020,"IT1243A",2020-02-06,0.4866
2020,"IT1243A",2020-02-07,0.5768
2020,"IT1243A",2020-02-08,0.5467
2020,"IT1243A",2020-02-09,0.3133
