"station_eu_code";"modello";"rmse_20";"rmse_80";"mse_20";"mse_80";"rsq_20";"rsq_80";"FAC2";"FB";"NMSE"
IT0842A;gam((value) ~ dclass + s(pbl12) + s(tp) + s(pbl00) + s(jd, k=11) + s(tmax2m) + s(ptp) + s(v10m) + s(pblmin), gamma=1.4, family=gaussian(link=log), data = tdf);6.56913978352272;6.75755953872478;43.1535974954609;45.6646109194103;0.634115339771923;0.633763965431795;0.953761755485893;0.0011868078588007;0.0792680090876208
IT0846A;gam((value) ~ dclass + s(jd, k=11) + s(u10m) + s(tmin2m) + s(pblmax) + s(tp) + s(pblmin) + s(v10m) + s(rh), gamma=1.4, family=gaussian(link=log), data = tdf);6.07735512366416;5.90482263496795;36.934245299127;34.8669303504298;0.787592916915241;0.776930988759984;0.982825917252147;0.00138969241189991;0.0412689407813716
IT0906A;gam((value) ~ dclass + s(jd, k=11) + s(pblmax) + s(t2m) + s(ptp) + s(wspeed), gamma=1.4, family=gaussian(link=log), data = tdf);5.48828313521354;5.24807583300675;30.1212517722694;27.5422999489895;0.871363315954348;0.866906130245273;0.959406713505074;0.00866808193934592;0.0356193494182667
IT0908A;gam((value) ~ dclass + s(pblmax) + s(jd, k=11) + s(v10m), gamma=1.4, family=gaussian(link=log), data = tdf);4.77957415804235;4.40242158224349;22.8443291322262;19.3813157878033;0.722920555804344;0.7700794844794;0.955294117647059;0.00664650385671314;0.0786806486160366
IT0912A;gam((value) ~ dclass + s(jd, k=11) + s(pblmin) + s(pbl12) + s(tmin2m) + s(tp), gamma=1.4, family=gaussian(link=log), data = tdf);6.56778957438925;6.63488914595416;43.1358598934562;44.0217539791004;0.813962957990912;0.803170794926775;0.984544049459042;0.00149741426485607;0.0440648615961163
IT0997A;gam((value) ~ dclass + s(jd, k=11) + s(tmin2m) + s(pblmax) + s(tp), gamma=1.4, family=gaussian(link=log), data = tdf);8.39718744155692;8.33652815900104;70.5127569286413;69.4977017458174;0.743069039799058;0.764165248364152;0.988317757009346;0.000294158953228962;0.0349210960401628
IT1016A;gam((value) ~ dclass + s(jd, k=11) + s(tmin2m) + s(pbl00) + s(pblmax), gamma=1.4, family=gaussian(link=log), data = tdf);9.81074658532108;9.51345475906921;96.2507485613893;90.5058214528566;0.689133812589788;0.733619269069801;0.997613365155131;0.00057278938559734;0.0329428669179788
IT1104A;gam((value) ~ dclass + s(jd, k=11) + s(pblmin) + s(tmin2m) + s(u10m) + s(nirradiance), gamma=1.4, family=gaussian(link=log), data = tdf);8.32186907814668;8.27395830544676;69.2535049538139;68.4583860402714;0.718058332887356;0.748061466956115;0.988326848249027;0.0002725490529975;0.0403156313016215
IT1174A;gam((value) ~ dclass + s(t2m) + s(jd, k=11) + s(pbl00) + s(u10m) + s(pbl12) + s(tp) + s(sp), gamma=1.4, family=gaussian(link=log), data = tdf);6.08518033340745;5.45442175281715;37.0294196900888;29.7507166576049;0.775328588470663;0.790652439151787;0.992924528301887;0.000658508440419509;0.041929703898409
IT1190A;gam((value) ~ dclass + s(jd, k=11) + s(pblmax) + s(ptp), gamma=1.4, family=gaussian(link=log), data = tdf);7.59947173904309;5.67543044260789;57.7519707125146;32.2105107088804;0.634882039739965;0.78609562058505;0.896043444530644;0.0110811072286253;0.0809966557597167
IT1203A;gam((value) ~ dclass + s(jd, k=11) + s(v10m) + s(pblmax) + s(pbl00) + s(u10m) + s(tmin2m) + s(ptp), gamma=1.4, family=gaussian(link=log), data = tdf);7.397843787907;6.3599352595982;54.7280927102742;40.4487765062804;0.675249877827966;0.751282505108337;0.965601965601966;0.000225729617586212;0.060806220686481
IT1251A;gam((value) ~ dclass + s(jd, k=11) + s(u10m) + s(t2m) + s(v10m) + s(pblmax) + s(tp), gamma=1.4, family=gaussian(link=log), data = tdf);9.14235663800254;9.62061737764624;83.582684896429;92.5562787270689;0.648484030199846;0.651232303585071;0.990068754774637;0.000713601849739582;0.0268761280680294
IT1286A;gam((value) ~ dclass + s(jd, k=11) + s(pblmin) + s(tmin2m) + s(pblmax) + s(tp), gamma=1.4, family=gaussian(link=log), data = tdf);7.6842956633711;7.7533722341914;59.048399842104;60.1147810019301;0.680894714381924;0.700333307836138;0.993574297188755;0.00204731259914077;0.0478027044652338
IT1287A;gam((value) ~ dclass + s(jd, k=11) + s(pblmin) + s(t2m) + s(ptp) + s(pblmax) + s(tp) + s(wdir) + s(pbl00) + s(v10m), gamma=1.4, family=gaussian(link=log), data = tdf);7.85285088383657;6.76037949128319;61.6672670037728;45.7027308661623;0.657746214711525;0.732560037840521;0.993610223642173;0.00159636219139093;0.0382380851598014
IT1392A;gam((value) ~ dclass + s(pbl12) + s(jd, k=11) + s(tp) + s(t2m) + s(pbl00), gamma=1.4, family=gaussian(link=log), data = tdf);4.55410127971054;4.5821812325836;20.7398384658612;20.9963848482414;0.746559504888031;0.743519541293868;0.944400939702428;0.000380360909099958;0.0747171312955989
IT1459A;gam((value) ~ dclass + s(jd, k=11) + s(tmin2m) + s(v10m) + s(ptp) + s(pblmax) + s(wdir) + s(pbl00) + s(tp), gamma=1.4, family=gaussian(link=log), data = tdf);8.45306414402199;8.60530087572382;71.4542934229502;74.0512031617331;0.707692818557197;0.660966487840353;0.959967974379504;0.00307853366327823;0.0740609245527137
IT1588A;gam((value) ~ dclass + s(jd, k=11) + s(tmin2m) + s(pblmax) + s(ptp), gamma=1.4, family=gaussian(link=log), data = tdf);6.74707371643591;7.61258341374418;45.5230037350202;57.951426231213;0.775381882389604;0.754575599473478;0.968919968919969;0.00111487956779313;0.0381591356303962
IT1646A;gam((value) ~ dclass + s(jd, k=11) + s(pblmin) + s(ptp) + s(tmin2m) + s(u10m) + s(tp) + s(pbl12) + s(v10m), gamma=1.4, family=gaussian(link=log), data = tdf);5.32656363574419;5.36790279567112;28.3722801656323;28.8143804237738;0.647565591157576;0.707626237718485;0.989803921568627;0.00204488830098364;0.046978860620747
IT1650A;gam((value) ~ dclass + s(jd, k=11) + s(tmin2m) + s(wspeed) + s(pblmax) + s(tp) + s(pblmin), gamma=1.4, family=gaussian(link=log), data = tdf);7.88411078628922;7.65984833154008;62.1592028904821;58.6732764621974;0.81094480237112;0.822682752535341;0.964912280701754;9.79050521570718e-05;0.0438599311258771
IT1692A;gam((value) ~ dclass + s(jd, k=11) + s(pblmin) + s(pbl00) + s(pblmax) + s(rh), gamma=1.4, family=gaussian(link=log), data = tdf);10.6700183231798;10.5277262876757;113.849291016992;110.833020788218;0.716637833916476;0.715239338776525;0.966914805624483;0.000406683478644962;0.0590958690361822
IT1734A;gam((value) ~ dclass + s(t2m) + s(v10m) + s(pblmax) + s(ptp) + s(pblmin) + s(jd, k=11), gamma=1.4, family=gaussian(link=log), data = tdf);6.47716368150499;6.5528941784206;41.9536493570073;42.9404221135786;0.822236225387506;0.815769614650973;0.931221020092736;0.000968525935085241;0.0640407799766781
